,0,1,2,3,4,5,6
109,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=20, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.902691094766217,0.8296875,0.6777273043720413
110,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=20, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': None}",0.9147162367991664,0.8390625,0.6990044555834031
111,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=20, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 50}",0.8865726397084449,0.8234375,0.6491750208855471
112,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=20, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.9167783707123294,0.8390625,0.72921888053467
113,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=20, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.9299371593892491,0.8515625,0.7245196324143692
114,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=10, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.7696993375614591,0.7875,0.6566938178780284
115,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=10, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.8902502384802865,0.8546875,0.7191764132553607
116,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=10, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': None}",0.8975968205844364,0.8609375,0.747310985797828
117,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=10, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': DecisionTreeClassifier(random_state=42), 'n_estimators': 50}",0.8804875393296502,0.8515625,0.7158521303258145
118,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=10, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.8932062387166566,0.853125,0.7487120579225842
119,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=10, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.8901698847938215,0.8234375,0.6923819966583125
120,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=5, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.7553566350582301,0.8296875,0.6975511695906433
121,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=5, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.8682206753665241,0.8375,0.7786480089111667
122,"ADASYN(random_state=42, sampling_strategy=0.5)","PCA(n_components=5, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'gini', 'max_depth': None}",0.8712165087450812,0.8421875,0.7768640350877193
